rekening_id,totaal_2016
3400,161261.95
4000,3083796.88
4005,12023.02
4010,246737.92
4011,84658.47
4015,10900.00
4030,483574.27
4040,53162.43
4048,-41547.66
4055,3771.20
4060,4381.80
4070,3631.04
4075,3240.25
4085,12040.75
4090,172.83
4095,14446.35
4100,256.00
4210,452.40
4220,2245.00
4250,16909.20
4260,36110.86
4280,791.00
4282,3909.00
4300,7400.79
4310,37.81
4320,34.63
4360,783.50
4400,4256.85
4410,493404.80
4420,45016.76
4440,14296.25
4480,3307.37
4500,8753.92
4510,2373.92
4520,29279.18
4530,8805.84
4540,4439.86
4550,23409.59
4560,12600.00
4600,125.95
4610,147.72
4620,15860.55
4630,10630.00
4640,12016.65
4680,19.42
4700,1470.28
4710,18766.16
4720,4410.13
4730,9634.14
4802,287.40
4810,87.48
4850,-12.97
4920,39.96
4940,240000.00
5010,-80.64
5300,-197625.98
5500,200.00
7000,935719.32
7001,1338.10
7200,793.25
8000,-11000.00
8010,-519670.00
8020,-349164.70
8030,-900817.45
8040,-215757.60
8050,-45079.20
8060,-3846.15
8080,-1200.00
8090,-204174.25
8091,-73040.45
8100,-5011780.40
8800,2487.43
9000,100.00
9101,1059.94
9202,-4015.14
9350,-1742.69
